ID,A_R,LogRe,mue,logSigma,eLogSigma,velocity,Type
60,0.432,0.9682260016471328,20.0,2.411,0.012,6067,-5
61,0.432,0.055264732044241524,17.93,2.307,0.03,5309,-5
62,0.418,0.7258707449457797,20.26,2.29,0.044,4422,-5
63,0.438,0.32311404680331446,18.79,2.432,0.03,4294,-5
64,0.438,0.571718554055763,19.07,2.338,0.024,6737,-5
65,0.448,0.08668320721766706,18.37,2.196,0.011,5463,-5
66,0.441,0.369330468783844,19.15,2.216,0.03,4944,-2
67,0.485,0.5602634162943239,19.51,2.375,0.03,4426,-2
68,0.441,0.4193453373298273,19.08,2.338,0.015,4160,-5
69,0.386,0.6370809677709707,18.93,2.557,0.025,6454,-5
70,0.538,0.5348586840656201,19.64,2.188,0.025,3781,-5
71,0.502,0.5132736665490679,19.0,2.333,0.03,6209,-2
72,0.398,0.8438628088567185,20.43,2.193,0.021,8742,-2
73,0.396,0.688313123313073,19.97,2.246,0.021,8631,-2
74,0.395,0.5587042717161578,20.25,2.136,0.04,8840,-2
75,0.402,0.5425692282773027,19.33,2.346,0.021,8716,-5
76,0.415,0.4130000256949561,18.99,2.316,0.021,7443,-2
77,0.457,0.7400706914014404,20.53,2.169,0.028,8666,-2
78,0.44,0.17971711346894076,18.96,2.143,0.04,8081,-2
79,0.461,0.41754897253001,18.92,2.256,0.016,7117,-5
80,0.458,0.602108381317777,19.45,2.231,0.016,9308,-2
81,0.445,0.6364212526238768,19.56,2.351,0.016,8554,-5
82,0.444,0.3698182931931747,18.66,2.337,0.017,8721,-5
83,0.439,-0.1287826489965782,17.57,2.267,0.028,7744,-5
84,0.441,1.2074740632355,21.53,2.282,0.02,8170,-5
85,0.467,-0.011221775807360071,18.16,2.155,0.028,7880,-2
86,0.452,0.49375978841434065,19.24,2.221,0.021,9365,-2
87,0.479,-0.030667557825184547,17.29,2.37,0.028,9933,-2
88,0.431,0.6571512707173681,20.62,2.089,0.04,8412,-2
89,0.477,0.710428144685429,20.29,2.229,0.028,7214,-2
90,0.439,0.5720218294862021,19.82,2.21,0.021,8685,-2
91,0.439,0.2625027790032326,18.89,2.196,0.028,8133,-2
92,0.463,0.14138883787345874,18.72,2.115,0.04,9102,-5
93,0.502,0.8937550220898249,19.52,2.473,0.016,9694,-5
94,0.521,0.612859593765975,19.93,2.232,0.028,10014,-2
95,0.387,0.6978131944764298,19.28,2.326,0.026,9673,-2
96,0.061,0.37540089659247866,18.8,2.276,0.035,11354,-5
97,0.061,0.6471036672154373,19.17,2.481,0.035,11691,-5
98,0.067,0.6843210205265324,20.06,2.322,0.035,13648,-5
99,0.061,0.22423880222455736,18.39,2.348,0.035,12764,-5
0,0.065,0.4918379346574227,18.94,2.396,0.035,13384,-5
1,0.065,0.43131015787515786,19.01,2.219,0.035,13337,-2
2,0.097,0.9840425462770455,20.22,2.297,0.047,11476,-4
3,0.091,0.5268297938283673,19.65,2.291,0.028,11313,-2
4,0.098,0.6946378065205664,19.94,2.341,0.04,11308,-2
5,0.093,0.4397605122970969,20.19,1.98,0.04,11156,-2
