# Galaxy      OtherID                RA              DEC      Type       D       e1     Method   A_V     MV_T      e2     M_K      e3        N_GC     e4   Source      sig_e    e5      R_e    e6    M_d     e6      M_G    e8      M_B     el      eu

NGC3056          nid              9.9091340  -28.2980459  S0-a    12.19    1.49   SBF           0.296  -19.060   0.410 -21.824   0.103      23.0    10.0   61          74.50    3.10    0.97    0.12    9.700    0.056    6.69    0.16    -9999      -9999      -9999  
NGC3031        M81                9.9258686   69.0654379  Sab      3.55    0.07   TRGB/Cepheid  0.266  -21.080   0.200 -23.949   0.102     300.0   100.0   72/89      143.00    7.00    3.41    0.07   10.812    0.030    7.92    0.12    7.84    0.11    0.06
NGC3073          nid             10.0144637   55.6189152  E/S0    33.73   18.03   SBF           0.033  -19.270   1.440 -21.840   0.126     130.0    20.0   18          34.80    3.90    1.66    0.89    9.272    0.193    7.45    0.06    -9999      -9999      -9999  
ESO-499-037        nid           10.0616193  -27.0278003  SABc    16.90    3.42   TF            0.205  -19.150   0.200 -18.474   0.153      14.0    11.0   22           -9999      -9999      3.61    0.73    -9999       -9999       6.48    0.25    -9999      -9999      -9999  
NGC3115          nid             10.0872139   -7.7185556  S0      10.00    0.50   SBF/PNLF      0.157  -21.190   0.200 -24.134   0.101     550.0    80.0   26         230.00   11.00    1.51    0.06   10.871    0.033    8.19    0.06    8.96    0.19    0.15
NGC3115DW1     PGC029300         10.0948889   -7.9813889  dEN     10.10    0.30   SBF/PNLF/TRG  0.174  -17.640   0.200 -19.987   0.130      60.0    20.0   25/80       29.00   10.00    2.50    0.80    9.291    0.200    7.04    0.12    -9999      -9999      -9999  
NGC3156          nid             10.2114599    3.1293359  S0      22.39    1.49   SBF           0.113  -19.560   0.270 -22.214   0.107     115.0    15.0   18          83.50    6.80    1.56    0.10   10.005    0.054    7.42    0.05    -9999      -9999      -9999  
CGCG065-015    A999-1            10.3899275   12.8350704  E      144.40   10.10   Hubble        0.111  -22.300   0.200 -25.698   0.107    2160.0   780.0   7          272.20   13.10    2.40    0.30   11.219    0.058    8.85    0.13    -9999      -9999      -9999  
NGC3226          nid             10.3908331   19.8983583  E       23.55    2.75   SBF           0.075  -20.530   0.460 -23.298   0.107     470.0   200.0   46         193.50    5.10    3.93    0.46   11.136    0.050    8.08    0.15    -9999      -9999      -9999  
IC613          A1016-1           10.4521639   11.0106843  E      143.90   10.10   Hubble        0.085  -21.850   0.200 -25.108   0.111    1330.0   440.0   7          261.90    5.90    1.72    0.20   11.041    0.049    8.61    0.12    -9999      -9999      -9999  
NGC3258          nid             10.4815547  -35.6053845  E1      32.06    4.25   SBF           0.279  -21.330   0.330 -24.254   0.103    6000.0   150.0   5          276.10    9.40    4.65    0.62   11.518    0.058    9.24    0.01    -9999      -9999      -9999  
NGC3268          nid             10.5001969  -35.3255622  E2      34.83    4.25   Hubble        0.341  -21.600   0.340 -24.594   0.104    4750.0   150.0   5          223.50   30.20    5.71    0.70   11.424    0.089    9.15    0.01    -9999      -9999      -9999  
NGC3259          nid             10.5430151   65.0410954  SABb    25.70    1.80   Hubble        0.040  -20.350   0.300 -21.838   0.105      29.0    16.0   22           -9999      -9999      2.12    0.20    -9999       -9999       6.86    0.19    -9999      -9999      -9999  
NGC3311          nid             10.6118836  -27.5278788  E2      44.26    4.00   SBF           0.263  -21.840   0.200 -25.156   0.107   16500.0  2000.0   20         185.20    7.00   18.91    1.88   11.781    0.046    9.71    0.05    -9999      -9999      -9999  
NGC3348          nid             10.7861083   72.8396667  E0      41.50    2.90   Hubble        0.245  -22.190   0.310 -25.152   0.101    3100.0  1000.0   20         238.40   10.00    5.26    0.37   11.444    0.038    9.00    0.12    -9999      -9999      -9999  
NGC3377          nid             10.7951044   13.9856408  E5      11.04    0.25   TRGB/SBF      0.113  -19.950   0.200 -22.786   0.104     191.0    15.0   18         145.00    7.00    1.84    0.04   10.557    0.030    7.66    0.03    8.25    0.19    0.29
NGC3379        M105              10.7971083   12.5816111  E1      10.20    0.50   TRGB          0.081  -20.900   0.200 -23.782   0.102     216.0    42.0   26/86      206.00   10.00    1.79    0.14   10.849    0.043    7.77    0.08    8.04    0.22    0.26
NGC3384          nid             10.8046995   12.6294009  SB0     10.80    0.77   SBF           0.088  -20.490   0.200 -23.427   0.102     120.0    30.0   42a        143.00    7.00    1.40    0.09   10.426    0.040    7.49    0.10    7.04    0.16    0.26
NGC3414          nid             10.8544917   27.9748333  S0      25.23    4.14   SBF           0.081  -21.100   0.420 -24.037   0.101     400.0   200.0   61         236.80    7.50    2.54    0.42   11.122    0.069    8.05    0.18    8.40    0.06    0.08
NGC3455          nid             10.9086324   17.2847178  SABb    20.60    1.50   Hubble        0.091  -17.860   0.200 -21.192   0.113      27.0    14.0   22           -9999      -9999      -9999      -9999      -9999       -9999       6.70    0.18    -9999      -9999      -9999  
NGC3489          nid             11.0051603   13.9011902  S0      12.08    0.86   SBF           0.055  -20.180   0.200 -23.046   0.100     100.0    50.0   61         104.50    2.30    1.19    0.09   10.082    0.033    7.39    0.18    -9999      -9999      -9999  
UGC-6203       A1177-1           11.1623418   21.7587474  E      141.60    9.90   Hubble        0.049  -22.100   0.200 -26.072   0.107    4880.0  1400.0   7          268.30    7.10    -9999      -9999      -9999       -9999       9.19    0.11    -9999      -9999      -9999  
NGC3557          nid             11.1660280  -37.5392450  E       45.71    4.87   SBF           0.327  -23.250   0.290 -26.132   0.101    1075.0   740.0   71         267.70    8.30    7.56    0.81   11.703    0.048    8.61    0.23    -9999      -9999      -9999  
NGC3550        A185-1            11.1773588   28.7677111  S0     152.70   10.70   Hubble        0.074  -22.800   0.300 -25.968   0.105    6600.0  1650.0   7          192.10    6.70    -9999      -9999      -9999       -9999       9.37    0.10    -9999      -9999      -9999  
NGC3556        M108              11.1919311   55.6741454  SBc     12.42    0.90   Hubble        0.057  -20.500   0.200 -23.436   0.102     290.0    80.0   82           -9999      -9999      5.98    0.43    -9999       -9999       7.87    0.11    -9999      -9999      -9999  
NGC3585          nid             11.2214178  -26.7548640  E7      21.20    1.73   SBF           0.212  -21.810   0.230 -24.952   0.102     300.0   100.0   81         213.00   10.00    4.27    0.37   11.256    0.045    7.96    0.12    8.51    0.15    0.13
NGC3599          nid             11.2574983   18.1103312  S0      20.32    1.76   SBF           0.068  -19.660   0.330 -22.276   0.103      29.0    10.0   61          67.30    4.40    2.35    0.20    9.996    0.051    6.82    0.13    -9999      -9999      -9999  
NGC3607          nid             11.2818155   18.0518988  S0      20.00    2.00   Hubble        0.069  -21.500   0.200 -24.519   0.103     600.0   200.0   60         229.00   11.00    4.18    0.42   11.310    0.050    8.25    0.12    8.15    0.10    0.15
NGC3608          nid             11.2830365   18.1485382  E2      23.00    2.00   SBF           0.069  -21.110   0.200 -23.720   0.101     450.0   200.0   60         182.00    9.00    3.74    0.25   11.062    0.040    8.10    0.16    8.67    0.09    0.10
NGC3610          nid             11.3070194   58.7862222  E5      35.10    4.00   SBF           0.033  -22.020   0.270 -24.822   0.101     400.0   150.0   40/60/99   162.00    4.60    2.62    0.05   10.806    0.019    8.10    0.14    -9999      -9999      -9999  
IC712          A1314-1           11.5803620   49.0777584  E      146.60   10.30   Hubble        0.045  -22.680   0.200 -25.945   0.105    3470.0   910.0   7          345.30   13.80    3.00    0.50   11.522    0.070    9.08    0.10    -9999      -9999      -9999  
NGC3818          nid             11.6992674   -6.1555814  E       36.31   11.78   SBF           0.118  -21.210   0.880 -23.946   0.105     590.0    40.0   18         194.80    4.70    4.00    1.30   11.150    0.123    8.22    0.03    -9999      -9999      -9999  
NGC3842        A1367-1           11.7339363   19.9496957  E       94.90    6.70   Hubble        0.071  -23.140   0.200 -25.812   0.103   12000.0  3000.0   7/13       315.00    8.00   17.38    1.23   12.205    0.033    9.65    0.10    9.99    0.12    0.13
NGC3870          nid             11.7657223   50.1998609  S0      13.60    1.00   Hubble        0.052  -17.680   0.270 -19.853   0.108      13.0     5.0   61          27.60    5.70    0.51    0.04    8.558    0.115    6.38    0.14    -9999      -9999      -9999  
NGC3923          nid             11.8504901  -28.8059748  E4      22.91    3.15   SBF           0.275  -22.280   0.540 -25.330   0.104    2800.0   300.0   26/92/101  256.60    6.30    6.51    0.89   11.601    0.058    8.96    0.04    -9999      -9999      -9999  
NGC4013          nid             11.9753802   43.9467640  Sb      17.74    1.60   TF            0.055  -20.070   0.310 -23.617   0.102     190.0    40.0   39/82        -9999      -9999      4.80    0.43    -9999       -9999       7.66    0.08    -9999      -9999      -9999  
NGC4033          nid             12.0096242  -17.8424655  E       21.09    2.36   SBF           0.157  -20.080   0.370 -22.939   0.103     160.0    15.0   18         143.20   12.30    1.34    0.15   10.408    0.066    7.59    0.04    -9999      -9999      -9999  
NGC4073          nid             12.0741877    1.8959276  E/cD    89.00    4.50   Hubble        0.074  -23.290   0.200 -26.266   0.104    8300.0   500.0   10a/43a    277.20    8.60    3.38    0.30   11.383    0.044    9.50    0.03    -9999      -9999      -9999  
NGC4150          nid             12.1760162   30.4015662  S0      13.74    1.61   SBF           0.060  -19.110   0.390 -21.708   0.101       7.0     4.0   56          85.00    8.40    1.18    0.14    9.899    0.073    6.18    0.20    0.00    6.38    0.00
NGC4157          nid             12.1845490   50.4849043  SABb    15.43    3.10   TF            0.071  -19.660   0.200 -23.586   0.103      80.0    20.0   82          90.10    4.30    2.64    0.53   10.300    0.083    7.26    0.10    -9999      -9999      -9999  
NGC4163          nid             12.2025600   36.1693490  Irr      2.91    0.04   TRGB          0.054  -14.210   0.200 -14.954   0.137       2.0     2.0   37           -9999      -9999      0.38    -9999      -9999       -9999       5.42    0.30    -9999      -9999      -9999  
NGC4203          nid             12.2513933   33.1972193  E/S0    15.14    1.31   SBF           0.040  -20.080   0.420 -23.499   0.101     175.0   100.0   61         162.40    5.90    1.49    0.13   10.563    0.042    7.63    0.20    0.00    8.08    0.00
NGC4216        VCC-167           12.2650908   13.1495788  Sb      16.00    1.00   Virgo         0.087  -21.810   0.200 -24.506   0.102     620.0   310.0   43a        206.80    9.60    2.73    0.30   11.036    0.050    8.28    0.18    -9999      -9999      -9999  
IC3131         VCC-0308          12.3141181    7.8616444  E       27.70    2.00   Hubble        0.058  -17.600   0.200 -21.128   0.163       8.0     3.0   61           -9999      -9999      -9999      -9999      -9999       -9999       6.16    0.14    -9999      -9999      -9999  
NGC4261          nid             12.3230597    5.8250408  E2      31.62    2.89   SBF           0.060  -22.140   0.210 -25.143   0.104    1242.0   250.0   9          315.00   15.00    7.42    0.68   11.836    0.047    8.60    0.08    8.71    0.08    0.09
NGC4262        VCC-355           12.3251724   14.8775797  SB0     15.42    0.43   SBF           0.116  -19.510   0.200 -22.597   0.101     100.0    31.0   77         189.70   14.30    0.82    0.02   10.441    0.045    7.35    0.12    -9999      -9999      -9999  
UGC-7369        nid              12.3274280   29.8830783  dSph    11.60    1.00   TRGB          0.053  -16.170   0.200 -18.534   0.131      22.0     7.0   37           -9999      -9999      0.84    0.10    -9999       -9999       6.54    0.12    -9999      -9999      -9999  
NGC4267        VCC-369           12.3292582   12.7984218  SB0     15.82    0.54   SBF           0.157  -20.220   0.200 -23.171   0.103     179.0    17.0   77         164.70    5.30    3.18    0.11   10.905    0.024    7.65    0.04    -9999      -9999      -9999  
NGC4278          nid             12.3352206   29.2806358  E       16.07    1.55   SBF           0.095  -20.970   0.340 -23.856   0.101    1100.0   300.0   46/60      237.20    5.20    2.68    0.26   11.147    0.042    8.48    0.10    0.00    8.23    0.00
NGC4291          nid             12.3382472   75.3709444  E       26.18    4.16   SBF           0.121  -20.740   0.380 -23.686   0.101     950.0   170.0   60         242.00   12.00    2.19    0.35   11.077    0.070    8.40    0.07    8.98    0.10    0.18
NGC4318        VCC-575           12.3786891    8.1982701  E       22.08    0.62   SBF           0.083  -18.500   0.210 -21.382   0.108      18.0     6.1   77          95.00    3.90    0.77    0.02    9.811    0.027    6.56    0.13    -9999      -9999      -9999  
NGC4340        VCC-654           12.3931399   16.7224629  IB      16.00    2.00   TF            0.072  -17.560   0.430 -22.707   0.102      45.0    16.0   77         116.30    3.00    2.75    0.40   10.540    0.061    6.91    0.13    -9999      -9999      -9999  
NGC4350        VCC-685           12.3993938   16.6934705  S0      15.50    0.78   GCLF          0.093  -20.050   0.200 -23.147   0.100     196.0    60.0   77         180.50    7.20    2.05    0.10   10.793    0.031    7.68    0.12    8.74    0.10    0.10
NGC4352        VCC-698           12.4013879   11.2180617  S0      18.64    0.10   SBF           0.084  -18.860   0.200 -21.495   0.110     114.0    12.0   77          69.80    5.90    2.00    0.01    9.957    0.049    7.38    0.04    -9999      -9999      -9999  
NGC4365        VCC-731           12.4078472    7.3175759  E3      23.33    0.65   SBF           0.070  -22.350   0.200 -25.207   0.104    3246.0   598.0   77         256.10    3.40    7.83    0.22   11.679    0.014    9.03    0.07    -9999      -9999      -9999  
NGC4371        VCC-759           12.4153949   11.7042761  SB0     16.98    0.48   SBF           0.122  -20.460   0.200 -23.445   0.103     200.0    41.0   77         137.10    2.60    2.77    0.08   10.684    0.017    7.71    0.08    -9999      -9999      -9999  
NGC4374        VCC-763/M84       12.4176847   12.8870714  E1      18.51    0.61   SBF           0.134  -22.360   0.200 -25.130   0.103    4301.0  1201.0   77         296.00   14.00    5.46    0.18   11.648    0.031    9.15    0.11    8.96    0.05    0.04
NGC4377        VCC-778           12.4200851   14.7622825  S0      17.67    0.59   SBF           0.120  -19.480   0.200 -22.420   0.101      74.0    32.0   77         144.10    9.80    0.97    0.03   10.272    0.042    7.22    0.16    -9999      -9999      -9999  
NGC4379        VCC-784           12.4207540   15.6074246  S0      15.88    0.52   SBF           0.077  -19.360   0.200 -22.248   0.102      50.0    14.0   77         115.90    4.80    1.18    0.04   10.167    0.028    7.04    0.11    -9999      -9999      -9999  
NGC4382        VCC-798/M85       12.4233458   18.1907561  S0      17.88    0.56   SBF           0.103  -22.250   0.200 -25.128   0.102    1110.0   181.0   77         178.70    5.00    7.48    0.23   11.347    0.021    8.56    0.07    0.00    7.81    0.00
NGC4406        VCC-881/M86       12.4365983   12.9461081  E3      17.09    0.52   SBF           0.098  -22.360   0.200 -25.071   0.104    2800.0   200.0   77         234.80    3.10   12.69    0.39   11.814    0.015    8.97    0.03    -9999      -9999      -9999  
NGC4417        VCC-944           12.4473867    9.5842429  SB0     16.03    0.53   SBF           0.081  -20.000   0.200 -22.860   0.104      72.0    10.0   77         135.20    2.70    1.22    0.04   10.318    0.018    7.24    0.06    -9999      -9999      -9999  
NGC4417        VCC-944           12.4473867    9.5842429  SB0     16.03    0.53   SBF           0.081  -20.000   0.200 -22.860   0.104      72.0    10.0   77         135.20    2.70    1.22    0.04   10.318    0.018    7.24    0.06    -9999      -9999      -9999  
NGC4431          nid             12.4576049   12.2903069  S0      15.80    0.40   SBF           0.094  -18.200   0.200 -20.695   0.110      11.0     5.0   61          48.40    5.20    1.68    0.04    9.564    0.062    6.33    0.16    -9999      -9999      -9999  
NGC4434        VCC-1025          12.4601861    8.1543056  E       22.48    0.78   SBF           0.074  -19.680   0.200 -22.556   0.104     141.0    34.0   77         120.20    2.90    1.42    0.05   10.281    0.021    7.51    0.09    -9999      -9999      -9999  
NGC4435        VCC-1030          12.4612448   13.0789039  SB0     16.65    0.52   SBF           0.100  -20.400   0.200 -23.821   0.101     345.0    80.0   77         156.70    5.80    2.94    0.09   10.828    0.026    7.94    0.09    0.00    6.88    0.00
NGC4442        VCC-1062          12.4677458    9.8036849  SB0     15.31    0.52   SBF           0.073  -20.560   0.200 -23.639   0.103     178.0    30.0   77         186.70    8.60    1.74    0.06   10.752    0.031    7.66    0.07    -9999      -9999      -9999  
NGC4449          nid             12.4697278   44.0930273  IB       4.13    0.21   TRGB          0.064  -18.560   0.240 -20.836   0.108      12.0     5.0   2            -9999      -9999      1.54    0.08    -9999       -9999       6.38    0.15    -9999      -9999      -9999  
IC3381         VCC-1087          12.4708115   11.7898275  E       16.67    0.59   SBF           0.072  -17.790   0.200 -20.069   0.155      66.0     9.5   77          39.10    1.50    2.85    0.10    9.608    0.027    7.09    0.06    -9999      -9999      -9999  
NGC4458        VCC-1146          12.4826502   13.2418293  E0      16.32    0.53   SBF           0.079  -19.070   0.200 -21.757   0.102      72.0    12.0   77         102.70    2.90    1.44    0.05   10.151    0.022    7.19    0.07    -9999      -9999      -9999  
NGC4459        VCC-1154          12.4833389   13.9785556  S0      16.01    0.55   SBF           0.153  -20.810   0.200 -23.886   0.101     218.0    28.0   77         167.00    8.00    3.09    0.11   10.904    0.032    7.76    0.05    7.84    0.08    0.08
VCC-1185        nid              12.4898714   12.4506659  E       16.90    0.80   SBF           0.062  -16.770   0.200 -17.885   0.172      14.0     5.7   77           -9999      -9999      1.52    0.07    -9999       -9999       6.37    0.15    -9999      -9999      -9999  
NGC4472        VCC-1226/M49      12.4963306    8.0003889  E2      17.03    0.21   SBF           0.074  -22.820   0.200 -25.768   0.103    7000.0   800.0   77         293.80    2.90   12.65    0.16   12.007    0.008    9.39    0.05    9.26    0.12    0.18
NGC4473        VCC-1231          12.4969066   13.4293972  E5      15.25    0.51   SBF           0.094  -20.810   0.200 -23.770   0.103     376.0    97.0   77         190.00    9.00    3.01    0.10   11.005    0.031    8.00    0.10    7.95    0.19    0.29
NGC4474        VCC-1242          12.4982081   14.0686238  S0      15.46    0.58   SBF           0.140  -19.590   0.200 -22.261   0.101     116.0    24.0   77          87.70    4.00    2.09    0.08   10.176    0.031    7.42    0.08    -9999      -9999      -9999  
VCC-1254        nid              12.5014329    8.0737952  dE0N    16.00    2.00   Virgo         0.061  -16.670   0.200 -19.323   0.180      26.0    11.0   24/67       31.40    1.60    0.93    0.10    8.929    0.053    6.63    0.14    -9999      -9999      -9999  
NGC4478        VCC-1279          12.5049358   12.3268025  E2      17.05    0.57   SBF           0.082  -19.790   0.200 -22.812   0.101      58.0    11.0   77         137.40    2.40    1.08    0.04   10.277    0.018    7.13    0.08    -9999      -9999      -9999  
NGC4486B       VCC-1297          12.5088833   12.4902222  E0      16.26    0.64   SBF           0.070  -17.770   0.200 -20.977   0.101       4.0    11.0   77         169.20    3.90    0.49    0.02   10.113    0.022    5.87    0.57    0.00    9.00    0.00
NGC4483        VCC-1303          12.5112912    9.0156507  S0-a    16.75    0.56   SBF           0.066  -18.960   0.200 -21.840   0.105      72.0    18.0   77           -9999      -9999      1.40    0.05    -9999       -9999       7.18    0.10    -9999      -9999      -9999  
NGC4486        VCC-1316/M87      12.5137243   12.3912170  E0      17.00    0.30   SBF           0.074  -22.610   0.200 -25.348   0.102   13000.0   800.0   77         375.00   18.00    7.30    0.12   11.980    0.029    9.65    0.03    9.77    0.03    0.03
NGC4489        VCC-1321          12.5145121   16.7587743  E       15.38    0.50   SBF           0.092  -19.030   0.200 -21.580   0.104      31.0     9.0   77          53.10    2.00    1.30    0.04    9.533    0.026    6.82    0.11    -9999      -9999      -9999  
NGC4494          nid             12.5233526   25.7746797  E1      17.06    0.89   SBF           0.071  -21.400   0.200 -24.170   0.103     392.0    49.0   35         150.20    3.70    4.02    0.21   10.927    0.026    8.05    0.05    -9999      -9999      -9999  
NGC4517          nid             12.5459661    0.1146246  Sc       9.26    0.66   TF            0.079  -19.520   0.330 -22.513   0.105     270.0    60.0   39           -9999      -9999      4.16    0.30    -9999       -9999       7.79    0.09    -9999      -9999      -9999  
NGC4515        VCC-1475          12.5513766   16.2654979  S0      16.68    0.55   SBF           0.085  -18.790   0.200 -21.232   0.103      81.0    10.0   77          86.00    2.90    0.84    0.03    9.762    0.025    7.22    0.05    -9999      -9999      -9999  
IC3492         VCC-1499          12.5555005   12.8535563  E       16.00    2.00   Virgo         0.084  -16.530   0.200 -18.126   0.154      19.0     6.6   77           -9999      -9999      0.54    0.09    -9999       -9999       6.49    0.13    -9999      -9999      -9999  
NGC4526        VCC-1535          12.5675099    7.6992057  S0      16.90    1.63   SBF           0.074  -21.510   0.220 -24.674   0.102     388.0   117.0   77         251.10   16.10    1.96    0.48   11.061    0.101    8.06    0.11    0.00    8.48    0.00
NGC4550        VCC-1619          12.5917858   12.2211893  SB0     15.44    0.49   SBF           0.129  -19.390   0.200 -22.265   0.102      84.0    19.0   77          96.40    4.20    1.42    0.05   10.088    0.029    7.27    0.09    -9999      -9999      -9999  
NGC4551        VCC-1630          12.5938813   12.2639737  E       16.18    0.56   SBF           0.128  -19.150   0.200 -22.187   0.102      47.0    11.0   77         106.80    2.20    1.24    0.04   10.120    0.019    7.01    0.09    -9999      -9999      -9999  
NGC4552        VCC-1632/M89      12.5944024   12.5561149  E       15.89    0.55   SBF           0.136  -20.390   0.200 -24.292   0.103    1100.0   200.0   77         252.50    3.30    3.70    0.13   11.342    0.017    8.44    0.07    8.68    0.04    0.05
NGC4565          nid             12.6057747   25.9871850  Sb      17.46    1.42   SBF           0.051  -21.680   0.270 -25.156   0.101     204.0    60.0   39         136.00    6.30    7.32    0.60   11.100    0.043    7.79    0.11    -9999      -9999      -9999  
NGC4564        VCC-1664          12.6074930   11.4393999  E       15.87    0.53   SBF           0.116  -20.000   0.200 -23.078   0.102     213.0    31.0   77         162.00    8.00    1.78    0.06   10.638    0.032    7.71    0.06    7.92    0.10    0.14
NGC4570        VCC-1692          12.6148409    7.2466966  S0      17.12    0.57   SBF           0.073  -20.340   0.200 -23.483   0.101     139.0    23.0   77         187.90    8.50    1.92    0.06   10.801    0.030    7.54    0.07    -9999      -9999      -9999  
NGC4589          nid             12.6236194   74.1918611  E2      21.98    2.34   SBF           0.093  -21.070   0.280 -23.962   0.103    1052.0   162.0   60         224.10    5.30    4.12    0.44   11.284    0.046    8.46    0.06    -9999      -9999      -9999  
NGC4578        VCC-1720          12.6251500    9.5551111  S0      16.35    0.54   SBF           0.070  -19.620   0.200 -22.671   0.105      62.0    13.0   77         120.30    9.60    2.46    0.08   10.519    0.048    7.15    0.08    -9999      -9999      -9999  
NGC4605          nid             12.6664972   61.6090333  SBd      5.47    0.50   TRGB          0.039  -18.410   0.200 -20.932   0.104      22.0     7.0   37           -9999      -9999      1.18    0.10    -9999       -9999       6.64    0.12    -9999      -9999      -9999  
NGC4594        M104              12.6665134  -11.6230104  Sa       9.77    0.84   SBF           0.170  -22.120   0.200 -25.006   0.101    1900.0   200.0   86/93      240.00   12.00    3.41    0.29   11.262    0.046    8.78    0.04    8.72    0.30    0.57
IC3651          nid              12.6813645   26.7280487  S0      71.70    5.00   Hubble        0.042  -21.000   0.200 -23.850   0.109    2700.0   780.0   65         183.00   28.90    1.18    0.10   10.565    0.093    8.87    0.11    -9999      -9999      -9999  
NGC4612        VCC-1883          12.6924278    7.3148511  S0      16.53    0.53   SBF           0.069  -21.120   0.200 -22.537   0.103      83.0    25.0   77          62.60    2.70    2.30    0.07    9.924    0.029    7.36    0.11    -9999      -9999      -9999  
NGC4621        VCC-1903/M59      12.7006372   11.6473083  E5      14.85    0.50   SBF           0.110  -21.340   0.200 -24.125   0.103     803.0   355.0   77         225.10    3.20    4.57    0.15   11.333    0.016    8.36    0.16    8.60    0.06    0.07
NGC4636          nid             12.7137983    2.6876184  E0      14.66    0.90   SBF           0.092  -21.430   0.200 -24.419   0.106    4200.0   120.0   23         203.10    3.50    6.71    0.41   11.411    0.028    9.09    0.01    0.00    8.80    0.00
NGC4649        VCC-1978/M60      12.7277890   11.5526723  E2      17.09    0.61   SBF           0.088  -22.410   0.200 -25.434   0.102    4000.0   500.0   77         385.00   19.00    7.12    0.25   11.992    0.033    9.13    0.05    9.63    0.09    0.11
NGC4660        VCC-2000          12.7422139   11.1905278  E       14.97    0.48   SBF           0.109  -19.740   0.200 -22.682   0.101     205.0    28.0   77         188.50    3.40    1.07    0.03   10.548    0.017    7.68    0.06    -9999      -9999      -9999  
NGC4673          nid             12.7596327   27.0607672  E      101.90    7.10   Hubble        0.040  -21.280   0.200 -25.176   0.103     750.0   290.0   65         231.70    5.20    -9999      -9999      -9999       -9999       8.33    0.14    -9999      -9999      -9999  
NGC4697          nid             12.8099952   -5.8006020  E6      12.01    0.78   SBF           0.101  -21.270   0.200 -24.042   0.104     229.0    70.0   54         177.00    8.00    4.19    0.27   11.087    0.038    7.81    0.12    8.28    0.08    0.10
NGC4754        VCC-2092          12.8715444   11.3136389  SB0     16.05    0.55   SBF           0.111  -20.530   0.200 -23.625   0.104     110.0    12.0   42a/77     186.40    3.20    2.26    0.10   10.864    0.021    7.45    0.04    -9999      -9999      -9999  
NGC4762        VCC-2095          12.8822015   11.2307746  SB0     23.88    2.50   GCLF          0.072  -21.700   0.240 -24.599   0.104     240.0    25.0   42a/77     147.10   10.30   10.44    1.09   11.323    0.058    7.86    0.04    -9999      -9999      -9999  
NGC4816          nid             12.9367011   27.7454349  E/S0   102.70    7.20   Hubble        0.030  -22.250   0.350 -25.349   0.108    6100.0  1400.0   65         244.50    8.10   10.82    0.76   11.779    0.035    9.30    0.09    -9999      -9999      -9999  
A1644-1        PGC44257          12.9532222  -17.4094444  E/S0   208.00   14.60   Hubble        0.194  -23.700   0.200 -26.957   0.116   17700.0  4600.0   6            -9999      -9999      -9999      -9999      -9999       -9999       9.85    0.10    -9999      -9999      -9999  
NGC4839          nid             12.9567653   27.4976006  E      109.10    7.60   Hubble        0.032  -23.160   0.200 -25.994   0.106    6500.0  2000.0   53         284.80    4.70   19.36    1.35   12.165    0.031    9.38    0.12    -9999      -9999      -9999  
NGC4840          nid             12.9591072   27.6102687  E       90.80    6.40   Hubble        0.032  -21.120   0.280 -24.235   0.105    1290.0   620.0   65         238.10    6.10    3.03    0.20   11.204    0.032    8.56    0.17    -9999      -9999      -9999  
IC3959          nid              12.9856104   27.7842170  E      105.10    7.40   Hubble        0.035  -20.990   0.200 -24.020   0.107     880.0   330.0   65         208.00    4.50    3.07    0.22   11.092    0.033    8.38    0.14    -9999      -9999      -9999  
PGC044560      MGC+5-31-063      12.9871855   28.0764001  E/S0   115.60    8.10   Hubble        0.032  -20.880   0.200 -23.084   0.131    2150.0   650.0   65         126.00   10.90    -9999      -9999      -9999       -9999       8.76    0.11    -9999      -9999      -9999  
IC3976          nid              12.9914916   27.8503408  E      101.90    7.10   Hubble        0.031  -20.530   0.200 -23.548   0.107     920.0   250.0   65         252.00    7.90    1.91    0.13   11.053    0.034    8.37    0.10    -9999      -9999      -9999  
NGC4874          nid             12.9932422   27.9593362  E/cD   106.40    7.50   Hubble        0.028  -23.480   0.260 -26.278   0.104   20000.0  2000.0   7/47/78    278.90    4.80   16.12    1.14   12.067    0.031    9.89    0.04    -9999      -9999      -9999  
NGC4881          nid             12.9993938   28.2464297  E      100.10    7.00   Hubble        0.036  -20.470   0.230 -24.615   0.107     295.0    89.0   47         199.60    3.00    5.43    0.38   11.304    0.031    7.88    0.11    -9999      -9999      -9999  
NGC4886          nid             13.0012407   27.9875050  E       95.10    6.70   Hubble        0.031  -21.060   0.250 -26.487   0.102    1220.0   480.0   65         163.20    2.60    4.54    0.32   11.051    0.031    8.53    0.14    -9999      -9999      -9999  
IC4012          nid              13.0022101   28.0786343  E      107.70    7.50   Hubble        0.029  -20.410   0.200 -23.573   0.108     620.0   410.0   65         190.80    3.50    -9999      -9999      -9999       -9999       8.20    0.22    -9999      -9999      -9999  
NGC4889          nid             13.0022369   27.9770315  E4      96.60    6.80   Hubble        0.032  -23.470   0.200 -26.521   0.102   11000.0  2000.0   7/47/65    400.80    5.60   15.11    1.06   12.354    0.031    9.63    0.07   10.32    0.25    0.62
IC4021          nid              13.0040979   28.0413075  E       85.80    6.00   Hubble        0.029  -20.160   0.200 -22.893   0.110     160.0   159.0   65         171.90    5.80    1.47    0.10   10.607    0.035    7.59    0.30    -9999      -9999      -9999  
